PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;BARRIO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO;
184319;"Junta Municipal del Distrito de Moncloa - Aravaca";"Los Distritos obedecen a un proyecto de descentralización del Ayuntamiento de Madrid que tiene como objetivos acercar la prestación de los servicios municipales a la ciudadanía y promover la participación de la ciudadanía en la vida local.Los ciudadanos y ciudadanas pueden acudir a su Distrito a informarse y realizar gestiones tan diversas como reservas de matrimonios civiles, presentar reclamaciones de consumo, solicitar prestaciones de servicios sociales o realizar trámites relacionados con el  padrón municipal, licencias urbanísticas, vías y espacios públicos, entre otros.Además, los Distritos realizan actividades dirigidas a la promoción de la salud, la difusión de la cultura, la práctica del deporte, apoyo a la educación y en materia de inspección sanitaria y comercial. Se admiten perros-guía.";"De lunes a viernes de 9 a 14 horas.Los horarios especiales se especifican en cada una de las dependencias.";"";"Metro: Moncloa (líneas 3, 6)Bus: 1, 16, 44, 46, 61, 82, 83, 132, 133, 160, 161, 162, 768, 769, A, G, C";"Consulte la localización y el horario de las Oficinas de Línea Madrid de Moncloa - Aravaca , donde se prestan los servicios de registro, padrón e información.";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=925a6fdb2541f010VgnVCM1000000b205a0aRCRD";"MONCLOA";"PLAZA";"V";"1";"";"";"";"";"MADRID";"MADRID";"28008";"ARGUELLES";"MONCLOA-ARAVACA";"439029";"4476310";"40.43519137700088";"-3.718876324432256";"Consulte la pestaña &amp;quot;Más información&amp;quot;.";"";"jmmoncloa@madrid.es";"/contenido/entidadesYorganismos/AyuntamientoMadrid/Distritos"; 
180007;"Junta Municipal del Distrito de Moratalaz";"Los Distritos obedecen a un proyecto de descentralización del Ayuntamiento de Madrid que tiene como objetivos acercar la prestación de los servicios municipales a la ciudadanía y promover la participación de la ciudadanía en la vida local.Los ciudadanos y ciudadanas pueden acudir a su Distrito a informarse y realizar gestiones tan diversas como reservas de matrimonios civiles, presentar reclamaciones de consumo, solicitar prestaciones de servicios sociales o realizar trámites relacionados con el  padrón municipal, licencias urbanísticas, vías y espacios públicos, entre otros.Además, los Distritos realizan actividades dirigidas a la promoción de la salud, la difusión de la cultura, la práctica del deporte, apoyo a la educación y en materia de inspección sanitaria y comercial. Se admiten perros-guía.";"De lunes a viernes de 9 a 14 horas.Los horarios especiales se especifican en cada una de las dependencias.";"";"Metro: Pavones (línea 9)Bus: 8, 20, 30, 32, 71, 100, 142, 144,140 y E4";"Consulte la localización y el horario de la Oficina de Línea Madrid de Moratalaz, donde se prestan los servicios de registro, padrón e información.";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f08a6fdb2541f010VgnVCM1000000b205a0aRCRD";"FUENTE CARRANTONA";"CALLE";"V";"8";"";"";"";"";"MADRID";"MADRID";"28030";"PAVONES";"MORATALAZ";"445952";"4472195";"40.39859980911487";"-3.6368959356337216";"Consulte la pestaña &amp;quot;Más información&amp;quot;.";"";"jmmoratalaz@madrid.es";"/contenido/entidadesYorganismos/AyuntamientoMadrid/Distritos"; 
182203;"Junta Municipal del Distrito de Puente de Vallecas";"Los Distritos obedecen a un proyecto de descentralización del Ayuntamiento de Madrid que tiene como objetivos acercar la prestación de los servicios municipales a la ciudadanía y promover la participación de la ciudadanía en la vida local.Los ciudadanos y ciudadanas pueden acudir a su Distrito a informarse y realizar gestiones tan diversas como reservas de matrimonios civiles, presentar reclamaciones de consumo, solicitar prestaciones de servicios sociales o realizar trámites relacionados con el  padrón municipal, licencias urbanísticas, vías y espacios públicos, entre otros.Además, los Distritos realizan actividades dirigidas a la promoción de la salud, la difusión de la cultura, la práctica del deporte, apoyo a la educación y en materia de inspección sanitaria y comercial. Se admiten perros-guía.";"De lunes a viernes de 9 a 14 horas.Los horarios especiales se especifican en cada una de las dependencias.";"";"Metro: Puente de Vallecas (línea 1), Nueva Numancia (línea 1)Bus: 10, 24, 54, 57, 58, 111, 136, 310";"Consulte la localización y el horario de las Oficinas de Línea Madrid de Puente de Vallecas, donde se prestan los servicios de registro, padrón e información.";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b4ca6fdb2541f010VgnVCM1000000b205a0aRCRD";"ALBUFERA";"AVENIDA";"V";"42";"";"";"";"";"MADRID";"MADRID";"28038";"SAN DIEGO";"PUENTE DE VALLECAS";"443452";"4471996";"40.39664109245883";"-3.6663361506752064";"Consulte la pestaña &amp;quot;Más información&amp;quot;.";"";"jmpvallecas@madrid.es";"/contenido/entidadesYorganismos/AyuntamientoMadrid/Distritos"; 
179741;"Junta Municipal del Distrito de Retiro";"Los Distritos obedecen a un proyecto de descentralización del Ayuntamiento de Madrid que tiene como objetivos acercar la prestación de los servicios municipales a la ciudadanía y promover la participación de la ciudadanía en la vida local.Los ciudadanos y ciudadanas pueden acudir a su Distrito a informarse y realizar gestiones tan diversas como reservas de matrimonios civiles, presentar reclamaciones de consumo, solicitar prestaciones de servicios sociales o realizar trámites relacionados con el  padrón municipal, licencias urbanísticas, vías y espacios públicos, entre otros.Además, los Distritos realizan actividades dirigidas a la promoción de la salud, la difusión de la cultura, la práctica del deporte, apoyo a la educación y en materia de inspección sanitaria y comercial. Se admiten perros-guía.";"De lunes a viernes de 9 a 14 horas.Los horarios especiales se especifican en cada una de las dependencias.";"";"Metro: Pacífico (líneas 1, 6)Bus: 24, 37, 54, 57, 141";"Consulte la localización y el horario de la Oficina de Línea Madrid de Retiro, donde se prestan los servicios de registro, padrón e información.";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=27098aa6bd91f010VgnVCM1000000b205a0aRCRD";"DAOIZ Y VELARDE";"PLAZA";"V";"2";"";"";"";"";"MADRID";"MADRID";"28007";"PACIFICO";"RETIRO";"442527";"4472618";"40.402190438836826";"-3.6772826298329093";"Consulte la pestaña &amp;quot;Más información&amp;quot;.";"";"jmretiro@madrid.es";"/contenido/entidadesYorganismos/AyuntamientoMadrid/Distritos"; 
180855;"Junta Municipal del Distrito de Salamanca";"Los Distritos obedecen a un proyecto de descentralización del Ayuntamiento de Madrid que tiene como objetivos acercar la prestación de los servicios municipales a la ciudadanía y promover la participación de la ciudadanía en la vida local.Los ciudadanos y ciudadanas pueden acudir a su Distrito a informarse y realizar gestiones tan diversas como reservas de matrimonios civiles, presentar reclamaciones de consumo, solicitar prestaciones de servicios sociales o realizar trámites relacionados con el  padrón municipal, licencias urbanísticas, vías y espacios públicos, entre otros.Además, los Distritos realizan actividades dirigidas a la promoción de la salud, la difusión de la cultura, la práctica del deporte, apoyo a la educación y en materia de inspección sanitaria y comercial. Se admiten perros-guía.";"De lunes a viernes de 9 a 14 horas.Los horarios especiales se especifican en cada una de las dependencias.";"";"Metro: Velázquez (línea 4), Serrano (línea 4)Bus: 1, 9, 19, 21, 51, 53, 74";"Consulte la localización y el horario de la Oficina de Línea Madrid de Salamanca, donde se prestan los servicios de registro, padrón e información.";"1,4,6";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f37f0a47f441f010VgnVCM2000000c205a0aRCRD";"VELAZQUEZ";"CALLE";"V";"52";"";"";"";"";"MADRID";"MADRID";"28001";"RECOLETOS";"SALAMANCA";"441999";"4475412";"40.42732326877904";"-3.683768008487216";"Consulte la pestaña &amp;quot;Más información&amp;quot;.";"";"";"/contenido/entidadesYorganismos/AyuntamientoMadrid/Distritos"; 
183638;"Junta Municipal del Distrito de San Blas - Canillejas";"Los Distritos obedecen a un proyecto de descentralización del Ayuntamiento de Madrid que tiene como objetivos acercar la prestación de los servicios municipales a la ciudadanía y promover la participación de la ciudadanía en la vida local.Los ciudadanos y ciudadanas pueden acudir a su Distrito a informarse y realizar gestiones tan diversas como reservas de matrimonios civiles, presentar reclamaciones de consumo, solicitar prestaciones de servicios sociales o realizar trámites relacionados con el  padrón municipal, licencias urbanísticas, vías y espacios públicos, entre otros.Además, los Distritos realizan actividades dirigidas a la promoción de la salud, la difusión de la cultura, la práctica del deporte, apoyo a la educación y en materia de inspección sanitaria y comercial. Se admiten perros-guía.";"De lunes a viernes de 8,30 a 14 horas.Los horarios especiales se especifican en cada una de las dependencias.";"";"Metro: Las Musas (línea 7)Bus: 38, 140";"Consulte la localización y el horario de la Oficina de Línea Madrid de San Blas - Canillejas, donde se prestan los servicios de registro, padrón e información.";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ba9f0a47f441f010VgnVCM2000000c205a0aRCRD";"ARCENTALES";"AVENIDA";"V";"28";"";"";"";"";"MADRID";"MADRID";"28022";"ROSAS";"SAN BLAS-CANILLEJAS";"448295";"4476161";"40.43448586473581";"-3.6096102461466093";"Consulte la pestaña &amp;quot;Más información&amp;quot;.";"";"";"/contenido/entidadesYorganismos/AyuntamientoMadrid/Distritos"; 
184158;"Junta Municipal del Distrito de Tetuán";"Los Distritos obedecen a un proyecto de descentralización del Ayuntamiento de Madrid que tiene como objetivos acercar la prestación de los servicios municipales a la ciudadanía y promover la participación de la ciudadanía en la vida local.Los ciudadanos y ciudadanas pueden acudir a su Distrito a informarse y realizar gestiones tan diversas como reservas de matrimonios civiles, presentar reclamaciones de consumo, solicitar prestaciones de servicios sociales o realizar trámites relacionados con el  padrón municipal, licencias urbanísticas, vías y espacios públicos, entre otros.Además, los Distritos realizan actividades dirigidas a la promoción de la salud, la difusión de la cultura, la práctica del deporte, apoyo a la educación y en materia de inspección sanitaria y comercial. Se admiten perros-guía.";"De lunes a viernes de 9 a 14 horas.Los horarios especiales se especifican en cada una de las dependencias.";"Salas de Exposiciones Juana Francés y Pablo Serrano De lunes a viernes de 9 a 14 y de 16 a 20 horas.Sábados de 10 a 14 horas.Domingo y festivos cerrado.";"Metro: Valdeacederas (línea 1), Plaza Castilla (líneas 1, 9, 10)Bus: 49, 66, 124";"Consulte la localización y el horario de la Oficina de Línea Madrid de Tetuán, donde se prestan los servicios de registro, padrón e información";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=71cf0a47f441f010VgnVCM2000000c205a0aRCRD";"BRAVO MURILLO";"CALLE";"V";"357";"";"";"";"";"MADRID";"MADRID";"28020";"ALMENARA";"TETUAN";"441184";"4479612";"40.465101515878985";"-3.693764227321566";"Consulte la pestaña &amp;quot;Más información&amp;quot;.";"";"jmtetuan@madrid.es";"/contenido/entidadesYorganismos/AyuntamientoMadrid/Distritos"; 
181626;"Junta Municipal del Distrito de Usera";"Los Distritos obedecen a un proyecto de descentralización del Ayuntamiento de Madrid que tiene como objetivos acercar la prestación de los servicios municipales a la ciudadanía y promover la participación de la ciudadanía en la vida local.Los ciudadanos y ciudadanas pueden acudir a su Distrito a informarse y realizar gestiones tan diversas como reservas de matrimonios civiles, presentar reclamaciones de consumo, solicitar prestaciones de servicios sociales o realizar trámites relacionados con el  padrón municipal, licencias urbanísticas, vías y espacios públicos, entre otros.Además, los Distritos realizan actividades dirigidas a la promoción de la salud, la difusión de la cultura, la práctica del deporte, apoyo a la educación y en materia de inspección sanitaria y comercial. Se admiten perros-guía.";"De lunes a viernes de 9 a 14 horas.Los horarios especiales se especifican en cada una de las dependencias.Los servicios de registro, padrón e información se prestan en la Oficina de Línea Madrid de Usera.Línea Madrid: de lunes a jueves de 9 a 17 y viernes de 9 a 14 horas.";"";"Metro: Plaza Elíptica  (líneas 6, 11)Bus: 6, 60, 81,78";"Consulte la localización y el horario de la Oficina de Línea Madrid de Usera, donde se prestan los servicios de registro, padrón e información.";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=38ef0a47f441f010VgnVCM2000000c205a0aRCRD";"RAFAELA YBARRA";"AVENIDA";"V";"41";"";"";"";"";"MADRID";"MADRID";"28026";"PRADOLONGO";"USERA";"439670";"4470445";"40.38241253009179";"-3.7107515747822353";"Consulte la pestaña &amp;quot;Más información&amp;quot;.";"";"jmdusera@madrid.es";"/contenido/entidadesYorganismos/AyuntamientoMadrid/Distritos"; 
183031;"Junta Municipal del Distrito de Vicálvaro";"Los Distritos obedecen a un proyecto de descentralización del Ayuntamiento de Madrid que tiene como objetivos acercar la prestación de los servicios municipales a la ciudadanía y promover la participación de la ciudadanía en la vida local.Los ciudadanos y ciudadanas pueden acudir a su Distrito a informarse y realizar gestiones tan diversas como reservas de matrimonios civiles, presentar reclamaciones de consumo, solicitar prestaciones de servicios sociales o realizar trámites relacionados con el  padrón municipal, licencias urbanísticas, vías y espacios públicos, entre otros.Además, los Distritos realizan actividades dirigidas a la promoción de la salud, la difusión de la cultura, la práctica del deporte, apoyo a la educación y en materia de inspección sanitaria y comercial. Se admiten perros-guía.";"De 9 a 14 horas.Los horarios especiales se especifican en cada una de las dependencias.";"";"Metro: San Cipriano (línea 9), Vicálvaro (línea 9)Bus: 4 , E3";"Consulte la localización y el horario de la Oficina de Línea Madrid de Vicálvaro, donde se prestan los servicios de registro, padrón e información.";"1,4";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=fe000a47f441f010VgnVCM2000000c205a0aRCRD";"DON ANTONIO DE ANDRES";"PLAZA";"V";"18";"";"";"";"";"MADRID";"MADRID";"28032";"CASCO H.VICALVARO";"VICALVARO";"448578";"4472583";"40.402270479784896";"-3.6059845330840714";"Consulte la pestaña &amp;quot;Más información&amp;quot;.";"";"jmvicalvaro@madrid.es";"/contenido/entidadesYorganismos/AyuntamientoMadrid/Distritos"; 
182354;"Junta Municipal del Distrito de Villa de Vallecas";"Los Distritos obedecen a un proyecto de descentralización del Ayuntamiento de Madrid que tiene como objetivos acercar la prestación de los servicios municipales a la ciudadanía y promover la participación de la ciudadanía en la vida local.Los ciudadanos y ciudadanas pueden acudir a su Distrito a informarse y realizar gestiones tan diversas como reservas de matrimonios civiles, presentar reclamaciones de consumo, solicitar prestaciones de servicios sociales o realizar trámites relacionados con el  padrón municipal, licencias urbanísticas, vías y espacios públicos, entre otros.Además, los Distritos realizan actividades dirigidas a la promoción de la salud, la difusión de la cultura, la práctica del deporte, apoyo a la educación y en materia de inspección sanitaria y comercial. Se admiten perros-guía.";"De lunes a viernes de 9 a 14 horas.Los horarios especiales se especifican en cada una de las dependencias.";"";"Metro: Villa de Vallecas (línea 1)Bus: 54, 58, 103, 142";"Consulte la localización y el horario de la Oficina de Línea Madrid de Villa de Vallecas, donde se prestan los servicios de registro, padrón e información.";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b5300a47f441f010VgnVCM2000000c205a0aRCRD";"FEDERICO GARCIA LORCA";"PASEO";"V";"12";"";"";"";"";"MADRID";"MADRID";"28031";"CASCO H.VALLECAS";"VILLA DE VALLECAS";"447248";"4469998";"40.3788998244401";"-3.621454785869909";"Consulte la pestaña &amp;quot;Más información&amp;quot;.";"";"omvivallecas@madrid.es";"/contenido/entidadesYorganismos/AyuntamientoMadrid/Distritos"; 
181739;"Junta Municipal del Distrito de Villaverde";"Los Distritos obedecen a un proyecto de descentralización del Ayuntamiento de Madrid que tiene como objetivos acercar la prestación de los servicios municipales a la ciudadanía y promover la participación de la ciudadanía en la vida local.Los ciudadanos y ciudadanas pueden acudir a su Distrito a informarse y realizar gestiones tan diversas como reservas de matrimonios civiles, presentar reclamaciones de consumo, solicitar prestaciones de servicios sociales o realizar trámites relacionados con el  padrón municipal, licencias urbanísticas, vías y espacios públicos, entre otros.Además, los Distritos realizan actividades dirigidas a la promoción de la salud, la difusión de la cultura, la práctica del deporte, apoyo a la educación y en materia de inspección sanitaria y comercial. Se admiten perros-guía.";"De lunes a viernes de 9 a 14 horas.Los horarios especiales se especifican en cada una de las dependencias.";"";"Bus: 22, 76, 86, 130, 131Renfe: Puente Alcocer";"Consulte la localización y el horario de la Oficina de Línea Madrid de Villaverde, donde se prestan los servicios de registro, padrón e información.";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7c500a47f441f010VgnVCM2000000c205a0aRCRD";"ARROYO BUENO";"CALLE";"V";"53";"";"";"";"";"MADRID";"MADRID";"28021";"SAN ANDRES";"VILLAVERDE";"439603";"4466726";"40.348895848554626";"-3.71120030905872";"Consulte la pestaña &amp;quot;Más información&amp;quot;.";"";"jmvillaverde@madrid.es";"/contenido/entidadesYorganismos/AyuntamientoMadrid/Distritos"; 
